,0,3,6,9,12,15,18,21
166,"13,2","11,2","14,1","15,8","14,3","16,5","15,9","14,2"
167,"12,4","11,9","11,8","17,1","20,5","20,9","14,8","15,1"
168,"14,1","10,6","11,3","17,5","19,6",20,"19,7","17,3"
169,"11,3","7,5","11,8","17,9","20,2","21,1","19,1","16,3"
170,"8,2","7,9","7,6","9,2","12,3","14,8","14,6","12,1"
171,"9,2","15,5","7,8","8,2","8,9","10,1","9,4","8,5"
172,"16,3","11,3","16,1","16,9","17,6","16,6",13,"11,4"
173,"13,4","12,5","13,2","23,8","27,9","28,4","27,1","21,9"
174,"16,2","10,5","13,8","23,6","26,8",28,"27,6","20,3"
175,"14,9","7,9","13,6",22,"25,4","25,2","23,8","20,4"
176,"10,7","8,5","10,1","20,6","23,9",25,"25,4",18
177,"10,4","11,5","11,5","19,8","22,7","23,8","22,8","15,2"
178,11,"10,3","11,1","18,2","20,1","20,4",21,"17,6"
179,"13,2","11,7","10,4","19,1","21,9","19,5","18,1",16
180,"13,7","12,3","12,2","17,2",20,22,"21,3","16,5"
181,"12,8","13,2","12,6","16,4","14,9","19,3","20,6","16,3"
182,"14,7","17,6","12,6","15,5","17,1","15,5","16,2","15,3"
183,"23,9","18,9","16,4","19,1","24,1","26,4","25,3","17,7"
184,"23,5","13,1","18,3","26,4","30,7","32,8","31,3","26,6"
185,"15,8","12,5","16,7","25,1","29,9","31,8","30,3",24
186,"15,6","19,5","13,4","24,6","26,1","28,2","26,8","22,9"
187,"21,7","12,8","18,7","21,9",25,"23,7","25,7","20,7"
188,"15,2","5,7","14,8","22,6","26,1","27,9","26,2","23,1"
189,"5,6","4,5","7,3","10,4","17,4","20,4","20,9","15,7"
190,"5,7","9,8","4,6","8,3","9,8","10,7","11,3","9,1"
191,"9,8","6,2","11,4","13,5","12,4","15,5",15,"10,6"
192,"6,1","12,9","6,2","6,7","7,8","8,8","9,6","10,7"
193,"14,6","3,7","11,6","11,2","10,7","9,9","8,3","6,5"
194,"6,4","12,1","4,8","14,4","15,7",19,"16,2","15,6"
195,"12,4","6,9","10,6","10,7","8,4","11,1","14,2","9,6"
196,8,6,"8,2","15,5","19,9","21,3",20,"14,8"
197,"5,3","11,4","5,8","11,3","13,3","15,4",16,"11,8"
198,"14,5","14,4","8,7","9,5","9,9","10,2","9,6","7,3"
199,16,"3,3","15,8",15,"22,7","24,4","17,2","15,2"
200,"6,1","10,9","2,3","13,1","17,5","20,5",20,"17,5"
201,"11,8",4,11,"11,8","11,3","17,1",17,"9,9"
202,"5,1","2,7","6,4","13,2","17,9","18,5","18,8",15
203,"4,7","1,2","2,9",9,"12,5","12,3",13,"8,1"
204,2,"6,9","0,7","6,9","10,6","11,4","11,3","5,8"
205,"9,7",3,5,"3,8","6,3","10,1","7,4",3
206,"4,7","1,5","3,1","7,8","10,3",12,"11,8","8,7"
207,"2,3","7,2","1,5","4,3",8,"7,8","8,2","4,8"
208,"9,3","8,8","7,4","9,5","10,4","6,7","5,7","3,7"
209,"8,2","6,8","7,1","13,3","16,4","13,5","16,1",12
210,"6,2","9,1","6,1","7,5","11,3","14,1",15,"10,4"
211,"7,4","7,4","10,1","10,5",10,"7,8","6,5","6,5"
212,"7,8",5,"5,7","3,7","3,6","3,6","3,4","4,6"
213,"7,2","3,3",5,"7,3","7,2","10,7","9,5","9,4"
214,6,"7,4","2,6","4,8","10,9","12,2","10,6","8,4"
215,"10,8","9,3","7,9","13,4",16,"14,2","9,5","8,3"
216,"12,6","9,8","6,3","15,5","20,8","20,6","16,1","11,7"
217,"13,2","11,7","3,6","16,1","23,6","24,6","22,6","16,4"
218,"15,1","10,8","9,4","15,6","22,8","23,8","20,2",16
219,"13,2","7,4","9,1","16,2","22,8",24,"22,5","17,4"
220,"8,4","-1,2","6,8","10,8","17,8","22,2","21,7","16,9"
221,"2,1",-1,"-2,8","8,1","12,5","15,3","13,3","10,9"
222,"1,1","-0,5","-2,4","6,3","10,3","12,9","11,1","6,2"
223,"1,4","6,7",-2,"4,9","8,2","9,7","8,6","4,5"
224,"8,3","3,3","6,8","6,4","4,8","7,5","6,4","3,4"
225,"3,3",0,"3,8",7,12,"10,6","8,4","8,5"
226,"1,7","0,8","0,1","6,5","9,7","9,8","9,1",6
227,2,"-3,4","-0,5","0,8","5,2","8,2","8,1","3,3"
228,"-2,6",3,"-3,3","3,6","7,7","5,9","7,5","3,9"
229,"6,8","6,9",1,"0,4","2,2","3,4","4,8","0,1"
230,"8,3","5,3","5,7","7,5","13,3","14,6","12,8","11,1"
231,"5,9","0,4","4,8","6,3","7,7","10,1","9,9","8,9"
232,"1,5","-3,7",0,"2,1","4,5","6,9","6,8","6,1"
233,"-1,5","-3,2","-4,9",2,"7,1","6,9","4,7","0,8"
234,"-0,9","-1,1","-3,5","0,1",5,"4,3","3,7","0,3"
235,"1,3","-1,3","-2,6","2,3",7,"7,8","5,3","1,2"
236,"-1,9","-4,7","-2,4","2,3","6,5","5,7","4,9","2,8"
237,"-3,3","-4,7","-5,4","0,5","6,3","6,9","4,8","1,7"
238,"-2,9","-1,7","-5,5",0,5,"6,8","5,1","-1,3"
239,"-0,5","0,2","-0,5","1,3","3,3",4,3,"-0,9"
240,"0,7","-1,3","-0,6","0,9","3,5","3,7",2,"0,4"
241,"-1,4","-6,7","-2,6","-1,2","1,6","2,2","1,8","1,1"
242,"-4,3","-0,9","-7,9","-2,9","0,2","0,9","0,2","-1,8"
243,"-0,4","-4,5","-1,5","-0,7","0,7","1,2","-0,8","-2,9"
244,"-3,8","-4,3","-4,5","-2,6","0,2","0,7","0,4",0
245,-4,"-0,6","-4,6","-3,7","-2,4","-0,7","-1,4","-2,7"
246,"-0,2","-0,6","-1,8","-2,5",-2,-2,"-2,8","-3,7"
247,"-0,1","0,9","-0,7","-0,6","1,4","2,2","1,1","-0,5"
248,"1,4","-4,3","-0,8",0,"1,1","0,8","0,6","0,8"
249,"-4,8","-10,4","-3,7","-2,5","-0,6","0,7","1,2","1,4"
250,"-10,2","-22,1","-10,3",-9,"-5,8","-4,3","-5,2","-5,8"
251,"-19,9","-23,2","-23,1","-16,1","-8,3","-5,9","-8,3","-9,2"
252,"-19,2","-15,9","-24,1",-19,"-12,8","-10,9",-12,"-16,1"
253,"-13,2","-13,4",-17,"-16,8","-14,7",-14,"-14,9","-17,7"
254,"-10,8","-1,6","-13,8","-10,1","-7,6","-7,8","-9,6","-12,4"
255,-2,"-10,5","-3,3",-3,"-1,4","-1,8","-4,2","-7,7"
